"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"Harry Potter and the Deathly Hallows","https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","0545010225","9780545010221","B004JZJE4U","784","pp","4.62","4,235,355","Jul 21, 2007","Jul 21, 2007","","0","https://www.goodreads.com/review/show/7128080502","0","https://www.goodreads.com/rating/voters/7128080502?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Harry Potter, #7)","https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627042661l/58613224._SY75_.jpg"
"Harry Potter and the Half-Blood Prince","https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","","","","672","pp","4.58","3,777,307","Jul 16, 2005","Jul 16, 2005","","0","https://www.goodreads.com/review/show/7128080405","0","https://www.goodreads.com/rating/voters/7128080405?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Harry Potter, #6)","https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894l/58613345._SY75_.jpg"
"Harry Potter and the Order of the Phoenix","https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","","","","576","pp","4.50","3,926,734","Jun 21, 2003","Sep 2004","","0","https://www.goodreads.com/review/show/7128080313","0","https://www.goodreads.com/rating/voters/7128080313?resource_type=Review","1","not set","not set","Dec 28, 2024","Paperback","","(Harry Potter, #5)","https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1786592302l/2._SX50_.jpg"
"Harry Potter and the Goblet of Fire","https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","","","B0DV2Y66LK","752","pp","4.57","4,350,382","Jul 08, 2000","Jul 08, 2000","","0","https://www.goodreads.com/review/show/7128080236","0","https://www.goodreads.com/rating/voters/7128080236?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Harry Potter, #4)","https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952l/58613424._SY75_.jpg"
"Harry Potter and the Prisoner of Azkaban","https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","043965548X","9780439655484","043965548X","547","pp","4.58","5,044,832","Jul 08, 1999","May 01, 2004","","0","https://www.goodreads.com/review/show/7128080160","0","https://www.goodreads.com/rating/voters/7128080160?resource_type=Review","1","not set","not set","Dec 28, 2024","Mass Market Paperback","","(Harry Potter, #3)","https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg"
"Harry Potter and the Chamber of Secrets","https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","","","B00ES27LCQ","341","pp","4.43","4,674,723","Jul 02, 1998","Jun 02, 1999","","0","https://www.goodreads.com/review/show/7128080073","0","https://www.goodreads.com/rating/voters/7128080073?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Harry Potter, #2)","https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg"
"Harry Potter and the Philosopher's Stone","https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone","Rowling, J.K.","https://www.goodreads.com/author/show/1077326.J_K_Rowling","","","","B07SBCZ16W","333","pp","4.47","11,820,551","Jun 26, 1997","Dec 08, 2015","","0","https://www.goodreads.com/review/show/7128079911","0","https://www.goodreads.com/rating/voters/7128079911?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Harry Potter, #1)","https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299l/42844155._SX50_.jpg"
"The Sun Is Also a Star","https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star","Yoon, Nicola","https://www.goodreads.com/author/show/7353006.Nicola_Yoon","*","0553496689","9780553496680","0553496689","344","pp","3.95","365,049","Nov 01, 2016","Nov 01, 2016","","0","https://www.goodreads.com/review/show/7128079620","0","https://www.goodreads.com/rating/voters/7128079620?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","","https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459793538l/28763485._SY75_.jpg"
"On the Come Up","https://www.goodreads.com/book/show/35887567-on-the-come-up","Thomas, Angie","https://www.goodreads.com/author/show/15049422.Angie_Thomas","*","","","B0FSKD3KDK","464","pp","4.26","101,814","Feb 05, 2019","Feb 05, 2019","","0","https://www.goodreads.com/review/show/7128079309","0","https://www.goodreads.com/rating/voters/7128079309?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","","https://www.goodreads.com/book/show/35887567-on-the-come-up","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518828924l/35887567._SY75_.jpg"
"Evil Spy School","https://www.goodreads.com/book/show/17571236-evil-spy-school","Gibbs, Stuart","https://www.goodreads.com/author/show/3040652.Stuart_Gibbs","*","1442494913","9781442494916","1442494913","336","pp","4.49","14,732","Jan 01, 2015","2015","","0","https://www.goodreads.com/review/show/7128078813","0","https://www.goodreads.com/rating/voters/7128078813?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(Spy School #3)","https://www.goodreads.com/book/show/17571236-evil-spy-school","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421828665l/17571236._SY75_.jpg"
"Spy Camp","https://www.goodreads.com/book/show/15801337-spy-camp","Gibbs, Stuart","https://www.goodreads.com/author/show/3040652.Stuart_Gibbs","*","1442457538","9781442457539","1442457538","336","pp","4.39","17,240","Apr 02, 2013","Apr 02, 2013","","0","https://www.goodreads.com/review/show/7128078699","0","https://www.goodreads.com/rating/voters/7128078699?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Spy School #2)","https://www.goodreads.com/book/show/15801337-spy-camp","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409522372l/15801337._SY75_.jpg"
"Spy School","https://www.goodreads.com/book/show/11750648-spy-school","Gibbs, Stuart","https://www.goodreads.com/author/show/3040652.Stuart_Gibbs","*","1442421827","9781442421820","1442421827","304","pp","4.10","39,040","Mar 06, 2012","Mar 06, 2012","","0","https://www.goodreads.com/review/show/7128078621","0","https://www.goodreads.com/rating/voters/7128078621?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Spy School, #1)","https://www.goodreads.com/book/show/11750648-spy-school","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1321499016l/11750648._SY75_.jpg"
"The Serpent's Shadow","https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423140575","9781423140573","1423140575","406","pp","4.27","186,080","May 01, 2012","May 01, 2012","","0","https://www.goodreads.com/review/show/7128077753","0","https://www.goodreads.com/rating/voters/7128077753?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Kane Chronicles, #3)","https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366227982l/12893742._SY75_.jpg"
"The Throne of Fire","https://www.goodreads.com/book/show/9067850-the-throne-of-fire","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423140567","9781423140566","1423140567","452","pp","4.18","233,856","May 03, 2011","May 03, 2011","","0","https://www.goodreads.com/review/show/7128077469","0","https://www.goodreads.com/rating/voters/7128077469?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Kane Chronicles, #2)","https://www.goodreads.com/book/show/9067850-the-throne-of-fire","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661018148l/9067850._SY75_.jpg"
"The Sword of Summer","https://www.goodreads.com/book/show/15724396-the-sword-of-summer","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423160916","9781423160915","1423160916","491","pp","4.23","247,838","Oct 06, 2015","Oct 06, 2015","","0","https://www.goodreads.com/review/show/7128077365","0","https://www.goodreads.com/rating/voters/7128077365?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Magnus Chase and the Gods of Asgard, #1)","https://www.goodreads.com/book/show/15724396-the-sword-of-summer","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434701340l/15724396._SY75_.jpg"
"The Blood of Olympus","https://www.goodreads.com/book/show/18705209-the-blood-of-olympus","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","","","B0FSKQGX6W","516","pp","4.43","409,181","Oct 07, 2014","Oct 07, 2014","","0","https://www.goodreads.com/review/show/7128077255","0","https://www.goodreads.com/rating/voters/7128077255?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Heroes of Olympus, #5)","https://www.goodreads.com/book/show/18705209-the-blood-of-olympus","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201441l/18705209._SY75_.jpg"
"The Red Pyramid","https://www.goodreads.com/book/show/7090447-the-red-pyramid","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423113381","9781423113386","1423113381","528","pp","4.10","434,496","May 04, 2010","May 04, 2010","","0","https://www.goodreads.com/review/show/7128077170","0","https://www.goodreads.com/rating/voters/7128077170?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Kane Chronicles, #1)","https://www.goodreads.com/book/show/7090447-the-red-pyramid","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661018382l/7090447._SY75_.jpg"
"The House of Hades","https://www.goodreads.com/book/show/12127810-the-house-of-hades","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423146727","9781423146728","1423146727","597","pp","4.57","502,734","Oct 08, 2013","Oct 08, 2013","","0","https://www.goodreads.com/review/show/7128077071","0","https://www.goodreads.com/rating/voters/7128077071?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Heroes of Olympus, #4)","https://www.goodreads.com/book/show/12127810-the-house-of-hades","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201430l/12127810._SY75_.jpg"
"The Son of Neptune","https://www.goodreads.com/book/show/9520360-the-son-of-neptune","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423140591","9781423140597","1423140591","521","pp","4.40","690,022","Oct 04, 2011","Oct 04, 2011","","0","https://www.goodreads.com/review/show/7128076982","0","https://www.goodreads.com/rating/voters/7128076982?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Heroes of Olympus, #2)","https://www.goodreads.com/book/show/9520360-the-son-of-neptune","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201114l/9520360._SY75_.jpg"
"The Mark of Athena","https://www.goodreads.com/book/show/12127750-the-mark-of-athena","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423140605","9781423140603","1423140605","586","pp","4.47","695,125","Oct 02, 2012","Oct 02, 2012","","0","https://www.goodreads.com/review/show/7128076899","0","https://www.goodreads.com/rating/voters/7128076899?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Heroes of Olympus, #3)","https://www.goodreads.com/book/show/12127750-the-mark-of-athena","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201354l/12127750._SY75_.jpg"
"The Lost Hero","https://www.goodreads.com/book/show/7736182-the-lost-hero","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","142311339X","9781423113393","142311339X","576","pp","4.29","968,915","Oct 12, 2010","Oct 12, 2010","","0","https://www.goodreads.com/review/show/7128076782","0","https://www.goodreads.com/rating/voters/7128076782?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Heroes of Olympus, #1)","https://www.goodreads.com/book/show/7736182-the-lost-hero","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201003l/7736182._SY75_.jpg"
"The Last Olympian","https://www.goodreads.com/book/show/4556058-the-last-olympian","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1423101472","9781423101475","1423101472","381","pp","4.56","1,193,608","May 05, 2009","May 05, 2009","","0","https://www.goodreads.com/review/show/7128076672","0","https://www.goodreads.com/rating/voters/7128076672?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Percy Jackson and the Olympians, #5)","https://www.goodreads.com/book/show/4556058-the-last-olympian","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1788398025l/4556058._SY75_.jpg"
"The Titan’s Curse","https://www.goodreads.com/book/show/561456.The_Titan_s_Curse","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","","","B00Z857ISO","352","pp","4.37","1,268,114","May 05, 2007","May 05, 2007","","0","https://www.goodreads.com/review/show/7128076554","0","https://www.goodreads.com/rating/voters/7128076554?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Percy Jackson and the Olympians, #3)","https://www.goodreads.com/book/show/561456.The_Titan_s_Curse","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385l/561456._SY75_.jpg"
"The Battle of the Labyrinth","https://www.goodreads.com/book/show/8130423-the-battle-of-the-labyrinth","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","","","B0DLT96V9G","361","pp","4.42","1,261,930","Mar 06, 2008","May 02, 2009","","0","https://www.goodreads.com/review/show/7128076468","0","https://www.goodreads.com/rating/voters/7128076468?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Percy Jackson and the Olympians, #4)","https://www.goodreads.com/book/show/8130423-the-battle-of-the-labyrinth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355333381l/8130423._SY75_.jpg"
"The Sea of Monsters","https://www.goodreads.com/book/show/40727118-the-sea-of-monsters","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","0120000318","9780120000319","0120000318","279","pp","4.24","1,426,517","Apr 01, 2006","","","0","https://www.goodreads.com/review/show/7128076362","0","https://www.goodreads.com/rating/voters/7128076362?resource_type=Review","1","unknown","not set","Dec 28, 2024","Hardcover","","(Percy Jackson and the Olympians, #2)","https://www.goodreads.com/book/show/40727118-the-sea-of-monsters","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530819367l/40727118._SY75_.jpg"
"The Lightning Thief","https://www.goodreads.com/book/show/123675190-the-lightning-thief","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","1368098169","9781368098168","1368098169","416","pp","4.31","3,565,398","Jul 28, 2005","Nov 21, 2023","","0","https://www.goodreads.com/review/show/7128076270","0","https://www.goodreads.com/rating/voters/7128076270?resource_type=Review","1","not set","not set","Dec 28, 2024","Paperback","","(Percy Jackson and the Olympians, #1)","https://www.goodreads.com/book/show/123675190-the-lightning-thief","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684776677l/123675190._SX50_.jpg"
"The Hidden Oracle","https://www.goodreads.com/book/show/26252859-the-hidden-oracle","Riordan, Rick","https://www.goodreads.com/author/show/15872.Rick_Riordan","*","148473274X","9781484732748","148473274X","376","pp","4.12","242,052","May 03, 2016","May 03, 2016","","0","https://www.goodreads.com/review/show/7128076078","0","https://www.goodreads.com/rating/voters/7128076078?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Trials of Apollo, #1)","https://www.goodreads.com/book/show/26252859-the-hidden-oracle","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1690967270l/26252859._SY75_.jpg"
"Happily Ever After","https://www.goodreads.com/book/show/24465724-happily-ever-after","Cass, Kiera","https://www.goodreads.com/author/show/2987125.Kiera_Cass","*","0008143676","9780062414090","0062414097","416","pp","4.03","83,463","Oct 13, 2015","Oct 13, 2015","","0","https://www.goodreads.com/review/show/7128075919","0","https://www.goodreads.com/rating/voters/7128075919?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(The Selection, #0.4, 0.5, 2.5, 2.6, 3.3)","https://www.goodreads.com/book/show/24465724-happily-ever-after","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427449095l/24465724._SY75_.jpg"
"A Million Junes","https://www.goodreads.com/book/show/30763950-a-million-junes","Henry, Emily","https://www.goodreads.com/author/show/13905555.Emily_Henry","*","0448493969","9780448493961","0448493969","400","pp","3.79","44,446","May 16, 2017","May 16, 2017","","0","https://www.goodreads.com/review/show/7128074672","0","https://www.goodreads.com/rating/voters/7128074672?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","","https://www.goodreads.com/book/show/30763950-a-million-junes","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487956862l/30763950._SX50_.jpg"
"Dune","https://www.goodreads.com/book/show/44767458-dune","Herbert, Frank","https://www.goodreads.com/author/show/58.Frank_Herbert","","059309932X","9780593099322","059309932X","658","pp","4.29","1,711,113","Jun 01, 1965","Oct 01, 2019","","0","https://www.goodreads.com/review/show/7128073178","0","https://www.goodreads.com/rating/voters/7128073178?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Dune, #1)","https://www.goodreads.com/book/show/44767458-dune","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458._SY75_.jpg"
"Beyond the Kingdoms","https://www.goodreads.com/book/show/24968392-beyond-the-kingdoms","Colfer, Chris","https://www.goodreads.com/author/show/4919495.Chris_Colfer","","","","B00T3E79BM","433","pp","4.41","59,159","Jul 07, 2015","Jul 07, 2015","","0","https://www.goodreads.com/review/show/7128069953","0","https://www.goodreads.com/rating/voters/7128069953?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(The Land of Stories, #4)","https://www.goodreads.com/book/show/24968392-beyond-the-kingdoms","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430009826l/24968392._SX50_.jpg"
"A Grimm Warning","https://www.goodreads.com/book/show/20706320-a-grimm-warning","Colfer, Chris","https://www.goodreads.com/author/show/4919495.Chris_Colfer","","0316406813","9780316406819","0316406813","480","pp","4.44","67,461","Jul 08, 2014","Jul 08, 2014","","0","https://www.goodreads.com/review/show/7128069786","0","https://www.goodreads.com/rating/voters/7128069786?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Land of Stories, #3)","https://www.goodreads.com/book/show/20706320-a-grimm-warning","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391709728l/20706320._SX50_.jpg"
"The Enchantress Returns","https://www.goodreads.com/book/show/17722973-the-enchantress-returns","Colfer, Chris","https://www.goodreads.com/author/show/4919495.Chris_Colfer","","0316201545","9780316201544","0316201545","517","pp","4.43","80,077","Aug 06, 2013","Aug 06, 2013","","0","https://www.goodreads.com/review/show/7128069561","0","https://www.goodreads.com/rating/voters/7128069561?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Land of Stories, #2)","https://www.goodreads.com/book/show/17722973-the-enchantress-returns","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364843824l/17722973._SX50_.jpg"
"The Wishing Spell","https://www.goodreads.com/book/show/11607446-the-wishing-spell","Colfer, Chris","https://www.goodreads.com/author/show/4919495.Chris_Colfer","","031620157X","9780316201575","031620157X","438","pp","4.26","165,544","Jul 17, 2012","Jul 17, 2012","","0","https://www.goodreads.com/review/show/7128069348","0","https://www.goodreads.com/rating/voters/7128069348?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(The Land of Stories, #1)","https://www.goodreads.com/book/show/11607446-the-wishing-spell","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326920505l/11607446._SX50_.jpg"
"Darkstalker","https://www.goodreads.com/book/show/28190254-darkstalker","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","1338053612","9781338053616","1338053612","400","pp","4.59","23,669","Jun 28, 2016","Jun 28, 2016","","0","https://www.goodreads.com/review/show/7128068313","0","https://www.goodreads.com/rating/voters/7128068313?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire: Legends, #1)","https://www.goodreads.com/book/show/28190254-darkstalker","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459384044l/28190254._SY75_.jpg"
"Darkness of Dragons","https://www.goodreads.com/book/show/33198183-darkness-of-dragons","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545685478","9780545685474","0545685478","336","pp","4.53","27,253","Jul 25, 2017","Jul 25, 2017","","0","https://www.goodreads.com/review/show/7128068241","0","https://www.goodreads.com/rating/voters/7128068241?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #10)","https://www.goodreads.com/book/show/33198183-darkness-of-dragons","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481665982l/33198183._SY75_.jpg"
"Talons of Power","https://www.goodreads.com/book/show/29550388-talons-of-power","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","","","B0DTWHWHVB","336","pp","4.48","29,366","Dec 27, 2016","Dec 27, 2016","","0","https://www.goodreads.com/review/show/7128068133","0","https://www.goodreads.com/rating/voters/7128068133?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Wings of Fire, #9)","https://www.goodreads.com/book/show/29550388-talons-of-power","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468226830l/29550388._SY75_.jpg"
"Escaping Peril","https://www.goodreads.com/book/show/25711360-escaping-peril","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","054568546X","9780545685467","B00YD46D7S","260","pp","4.46","32,089","Jan 05, 2016","Dec 29, 2015","","0","https://www.goodreads.com/review/show/7128068027","0","https://www.goodreads.com/rating/voters/7128068027?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Wings of Fire, #8)","https://www.goodreads.com/book/show/25711360-escaping-peril","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437899850l/25711360._SX50_.jpg"
"Winter Turning","https://www.goodreads.com/book/show/23604435-winter-turning","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545685370","9780545685375","0545685370","336","pp","4.44","33,890","Jun 30, 2015","Jun 30, 2015","","0","https://www.goodreads.com/review/show/7128067919","0","https://www.goodreads.com/rating/voters/7128067919?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #7)","https://www.goodreads.com/book/show/23604435-winter-turning","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419320915l/23604435._SY75_.jpg"
"Moon Rising","https://www.goodreads.com/book/show/22323659-moon-rising","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545685346","9780545685344","0545685346","336","pp","4.56","36,447","Jan 06, 2015","Dec 30, 2014","","0","https://www.goodreads.com/review/show/7128067803","0","https://www.goodreads.com/rating/voters/7128067803?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #6)","https://www.goodreads.com/book/show/22323659-moon-rising","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421370732l/22323659._SY75_.jpg"
"The Brightest Night","https://www.goodreads.com/book/show/18527497-the-brightest-night","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545349222","9780545349222","0545349222","336","pp","4.52","40,424","Mar 25, 2014","Mar 25, 2014","","0","https://www.goodreads.com/review/show/7128067730","0","https://www.goodreads.com/rating/voters/7128067730?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #5)","https://www.goodreads.com/book/show/18527497-the-brightest-night","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389053585l/18527497._SY75_.jpg"
"The Dark Secret","https://www.goodreads.com/book/show/17675467-the-dark-secret","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545349214","9780545349215","0545349214","336","pp","4.36","42,624","Oct 29, 2013","Oct 29, 2013","","0","https://www.goodreads.com/review/show/7128067632","0","https://www.goodreads.com/rating/voters/7128067632?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #4)","https://www.goodreads.com/book/show/17675467-the-dark-secret","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368813111l/17675467._SY75_.jpg"
"The Hidden Kingdom","https://www.goodreads.com/book/show/16100976-the-hidden-kingdom","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545349206","9780545349208","0545349206","336","pp","4.48","47,142","2012","May 28, 2013","","0","https://www.goodreads.com/review/show/7128067560","0","https://www.goodreads.com/rating/voters/7128067560?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #3)","https://www.goodreads.com/book/show/16100976-the-hidden-kingdom","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364066230l/16100976._SY75_.jpg"
"The Lost Heir","https://www.goodreads.com/book/show/15809617-the-lost-heir","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545349192","9780545349192","0545349192","296","pp","4.40","52,874","2013","Jan 01, 2013","","0","https://www.goodreads.com/review/show/7128067475","0","https://www.goodreads.com/rating/voters/7128067475?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #2)","https://www.goodreads.com/book/show/15809617-the-lost-heir","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358266376l/15809617._SY75_.jpg"
"The Dragonet Prophecy","https://www.goodreads.com/book/show/13228487-the-dragonet-prophecy","Sutherland, Tui T.","https://www.goodreads.com/author/show/374504.Tui_T_Sutherland","","0545349184","9780545349185","0545349184","336","pp","4.22","87,976","Jul 01, 2012","Jul 01, 2012","","0","https://www.goodreads.com/review/show/7128067388","0","https://www.goodreads.com/rating/voters/7128067388?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Wings of Fire, #1)","https://www.goodreads.com/book/show/13228487-the-dragonet-prophecy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339198070l/13228487._SY75_.jpg"
